Reference,Account Number,Description,Start Balance,Mutation,End Balance
183398,NL56RABO0149876948,Clothes from Richard de Vries,33.34,+5.55,38.89
112806,NL27SNSB0917829871,Subscription from Jan Dekker,28.95,-19.44,9.51
110784,NL93ABNA0585619023,Subscription from Richard Bakker,13.89,-46.18,-32.29
137758,NL93ABNA0585619023,Tickets for Daniël King,97.56,+46.41,143.97
112806,NL43AEGO0773393871,Subscription from Daniël Theuß,102.33,+11.49,113.82
112806,NL74ABNA0248990274,Subscription for Rik Dekker,48.2,-4.25,43.95
118757,NL32RABO0195610843,Candy for Willem King,98.99,-7.85,91.14
146294,NL90ABNA0585647886,Tickets for Vincent Dekker,13.62,-15.08,-1.46
128470,NL91RABO0315273637,Tickets for Erik Dekker,53.31,-15.85,37.46
141007,NL32RABO0195610843,Tickets for Richard de Vries,66.35,+44.27,110.62
